target,credit,term,fst_payment,age,gender,child_total,dependants,socstatus_work_fl,socstatus_pens_fl,fl_presence_fl,own_auto,personal_income,total_loans_count,work_time_in_years,высшее,среднее,среднее специальное,не состоял в браке,разведен(а),состою в браке,от 10000 до 20000 руб.,от 20000 до 50000 руб.,от 5000 до 10000 руб.
0,13000.0,6,1500.0,45,1,3,2,1,0,0,0,14000.0,1,10.0,True,False,False,False,True,False,True,False,False
0,7300.0,6,3000.0,32,1,0,0,1,0,0,1,10000.0,1,9.0,False,False,True,True,False,False,True,False,False
0,12646.0,6,1500.0,33,1,1,1,1,0,0,0,8000.0,1,2.0,False,False,True,False,False,True,True,False,False
0,14619.0,6,1625.0,38,1,1,1,1,0,1,0,13000.0,1,1.0,False,False,True,True,False,False,True,False,False
0,3909.0,3,690.0,27,1,0,0,1,0,0,1,12500.0,1,5.0,True,False,False,False,False,True,False,True,False
1,30198.0,6,5752.0,31,1,1,1,1,0,0,0,12000.0,1,1.0,False,False,True,False,False,True,False,True,False
0,3390.0,6,400.0,40,0,1,1,1,0,0,0,20000.0,1,0.0,False,False,True,False,False,True,False,True,False
0,8000.0,3,5300.0,63,1,0,0,0,1,0,0,5000.0,1,0.0,False,False,True,False,False,True,False,False,True
0,3307.0,4,583.0,40,1,3,2,1,0,0,1,11000.0,1,8.0,False,False,True,False,False,True,False,True,False
0,3490.0,3,4500.0,27,0,1,1,1,0,0,0,15000.0,1,9.0,True,False,False,False,False,True,True,False,False
0,9991.0,6,309.0,49,1,2,0,1,0,0,0,5000.0,1,1.0,False,False,True,True,False,False,False,False,True
0,10000.0,6,4700.0,29,0,0,0,1,0,0,1,10000.0,1,1.0,False,False,True,True,False,False,False,True,False
0,8118.0,3,8117.0,61,1,0,0,1,0,0,0,13000.0,1,8.0,True,False,False,False,False,True,True,False,False
0,26990.0,6,9000.0,43,1,2,2,1,0,0,1,30000.0,1,1.0,False,False,True,False,False,True,False,True,False
0,4869.66,6,1385.0,38,0,0,0,1,0,1,0,23000.0,2,0.0,True,False,False,True,False,False,False,True,False
0,8730.0,10,1000.0,38,0,4,4,1,0,0,1,15000.0,1,10.0,False,False,True,False,False,True,False,True,False
0,19989.0,6,2500.0,49,0,2,0,1,0,1,0,10000.0,1,20.0,False,False,True,False,False,True,True,False,False
0,5119.0,6,570.0,44,1,0,0,1,0,0,0,13000.0,1,15.0,False,False,True,False,False,True,True,False,False
0,13021.0,6,3000.0,61,1,2,0,0,1,0,0,5000.0,1,0.0,False,False,True,False,False,True,False,False,True
0,4550.0,3,1000.0,28,1,1,1,1,0,0,0,8000.0,2,0.0,False,False,True,False,False,True,True,False,False
0,19240.0,36,0.0,31,0,1,1,1,0,1,0,20000.0,1,8.0,False,False,True,False,False,True,False,True,False
0,8880.0,6,1000.0,59,1,0,0,0,1,0,0,4000.0,1,0.0,False,False,True,False,False,True,False,False,True
0,26820.0,10,2980.0,54,1,2,0,1,0,1,0,8000.0,2,3.0,True,False,False,False,False,True,False,True,False
0,13800.0,5,5000.0,48,1,2,0,1,0,1,0,13000.0,1,12.0,False,False,True,False,False,True,True,False,False
0,45665.0,8,5100.0,24,0,0,0,1,0,0,0,50000.0,1,2.0,True,False,False,False,False,True,False,False,False
0,10000.0,6,4455.0,48,1,0,0,1,0,1,0,15000.0,1,11.0,True,False,False,False,False,False,False,True,False
0,18471.0,3,10000.0,43,1,1,1,1,0,0,0,20000.0,2,6.0,False,False,False,False,True,False,False,True,False
0,7850.0,3,3000.0,23,0,1,1,1,0,0,1,18000.0,1,2.0,False,False,True,False,False,True,False,True,False
0,23166.0,5,2574.0,54,1,2,0,1,0,0,0,40000.0,1,10.0,False,False,True,True,False,False,False,False,False
0,7581.0,6,1338.0,37,0,1,1,1,0,0,1,10000.0,1,1.0,False,True,False,False,False,True,True,False,False
0,34335.0,6,3815.0,47,1,0,0,1,0,1,0,20000.0,1,1.0,True,False,False,False,False,True,False,True,False
0,3143.0,3,3000.0,52,1,1,1,0,1,0,0,5700.0,2,0.0,True,False,False,False,False,True,True,False,False
0,10925.0,3,2000.0,24,0,0,0,1,0,0,0,15000.0,2,3.0,False,True,False,False,False,True,True,False,False
0,10570.0,4,5000.0,48,1,0,0,1,0,1,0,11000.0,1,27.0,False,True,False,True,False,False,True,False,False
0,14755.0,6,1640.0,58,0,2,0,0,1,0,0,9000.0,1,0.0,False,False,True,False,False,True,True,False,False
0,6163.0,6,1087.0,34,1,0,0,1,0,0,0,9000.0,1,2.0,True,False,False,True,False,False,False,True,False
0,13441.0,10,7049.0,31,1,0,0,1,0,1,0,12800.0,2,8.0,False,False,True,True,False,False,False,True,False
0,16870.0,6,2000.0,31,0,1,1,1,0,0,0,20000.0,1,1.0,False,False,True,False,False,True,False,True,False
1,16400.0,6,3000.0,35,1,1,1,1,0,1,0,15000.0,1,2.0,False,False,True,True,False,False,True,False,False
0,5500.0,3,1000.0,54,1,2,0,0,1,0,0,10000.0,1,0.0,True,False,False,False,False,True,True,False,False
0,4938.0,6,1500.0,35,1,1,1,1,0,0,0,15000.0,1,6.0,False,False,True,False,False,True,False,True,False
0,17990.0,6,5000.0,61,1,2,0,0,1,0,0,5500.0,1,0.0,False,False,True,False,False,True,True,False,False
0,7920.0,5,880.0,52,0,0,1,1,0,0,0,7000.0,1,30.0,False,True,False,False,False,True,True,False,False
1,3000.0,3,790.0,34,0,2,2,1,0,0,0,6000.0,1,15.0,False,True,False,False,False,True,True,False,False
0,11070.0,6,1300.0,44,0,3,3,1,0,0,0,11000.0,1,9.0,False,False,False,False,False,False,True,False,False
0,3000.0,6,2490.95,63,1,2,0,0,1,0,0,4800.0,1,0.0,False,False,False,False,False,True,False,False,True
0,9500.0,6,2500.0,30,0,0,0,1,0,0,0,30000.0,1,4.0,False,False,True,False,True,False,False,True,False
0,5690.0,6,5500.0,27,1,0,0,1,0,0,0,5300.0,1,3.0,False,False,True,True,False,False,False,False,True
0,9907.2,3,2000.0,35,1,0,0,1,0,1,0,50000.0,1,0.0,True,False,False,True,False,False,False,False,False
0,15598.0,6,5000.0,48,1,2,0,1,0,1,0,11000.0,1,10.0,False,False,True,False,False,True,True,False,False
0,21050.0,12,3000.0,29,1,1,1,1,0,1,0,11700.0,1,8.0,False,False,True,False,False,True,False,True,False
0,5431.2,6,168.0,30,0,1,1,1,0,0,0,8000.0,1,5.0,False,False,True,False,False,True,True,False,False
0,4250.0,4,2000.0,31,1,1,1,1,0,1,0,5000.0,2,2.0,False,True,False,False,False,True,True,False,False
0,5400.0,6,3000.0,51,1,2,0,1,0,0,0,7500.0,1,5.0,False,False,True,False,False,True,True,False,False
0,3750.0,9,0.0,47,0,2,1,1,0,1,1,18000.0,2,21.0,False,False,True,False,False,True,False,True,False
0,4490.0,6,500.0,26,0,0,0,1,0,0,0,8000.0,1,2.0,False,False,False,True,False,False,False,False,True
0,8330.0,5,2200.0,44,0,2,2,1,0,0,0,20000.0,1,10.0,False,False,True,False,False,True,False,True,False
1,7795.0,6,7795.0,33,1,1,1,1,0,0,0,10000.0,1,1.0,True,False,False,False,False,True,True,False,False
0,3307.0,6,583.0,35,1,0,0,1,0,0,0,9000.0,1,2.0,True,False,False,True,False,False,True,False,False
0,21380.0,4,5000.0,51,1,1,0,1,0,1,0,11000.0,1,25.0,False,False,True,False,False,False,True,False,False
0,9990.0,6,3000.0,43,1,1,1,1,0,0,0,15000.0,2,1.0,True,False,False,False,False,True,False,True,False
0,5570.0,4,620.0,35,0,1,1,1,0,0,1,15000.0,1,0.0,False,False,True,True,False,False,True,False,False
1,9997.0,6,1120.0,27,1,0,0,1,0,0,0,10000.0,1,1.0,False,False,True,True,False,False,True,False,False
0,15190.0,6,7000.0,54,1,0,0,1,0,1,0,15000.0,1,3.0,False,False,True,False,False,True,False,True,False
0,3299.0,6,370.0,28,1,1,1,1,0,0,0,8000.0,1,1.0,False,False,False,False,False,True,False,True,False
0,10394.0,6,5000.0,53,0,2,0,1,0,0,1,25000.0,1,6.0,False,False,True,False,False,True,False,True,False
0,6843.0,4,4500.0,29,1,1,1,1,0,1,0,11000.0,1,1.0,False,False,True,False,False,True,True,False,False
0,8990.0,12,1000.0,59,1,1,0,1,0,0,0,8500.0,1,4.0,True,False,False,False,True,False,True,False,False
0,3610.0,10,410.0,56,0,3,0,1,0,0,0,4000.0,1,2.0,False,False,True,False,False,True,True,False,False
0,9137.0,3,1500.0,37,1,3,3,1,1,1,0,15000.0,2,16.0,False,True,False,False,False,True,False,True,False
0,10693.0,6,1887.0,51,0,1,0,1,0,0,0,8000.0,1,16.0,False,False,True,False,False,True,True,False,False
0,7199.0,6,800.0,63,0,1,0,1,0,0,0,10000.0,1,2.0,False,True,False,False,False,True,True,False,False
0,10000.0,6,3555.0,31,0,0,0,1,0,0,0,18000.0,1,7.0,True,False,False,False,False,True,False,True,False
0,21984.55,10,3880.0,58,0,3,1,1,0,0,0,15000.0,1,9.0,True,False,False,False,False,True,False,True,False
0,3140.0,4,350.0,48,0,2,0,1,0,0,0,12000.0,1,2.0,False,False,True,False,False,True,True,False,False
0,10953.0,4,11337.0,37,1,1,1,1,0,0,0,7300.0,1,15.0,False,False,True,False,False,True,True,False,False
0,8442.0,5,938.0,52,1,0,0,1,0,1,0,25000.0,1,29.0,False,False,True,True,False,False,False,True,False
0,5650.0,6,630.0,52,1,0,0,1,0,1,0,8000.0,1,8.0,False,False,True,True,False,False,True,False,False
0,8991.0,9,0.0,37,0,0,0,1,0,0,1,12000.0,1,10.0,False,False,True,False,True,False,True,False,False
0,18900.0,10,2100.0,22,0,1,0,1,0,0,0,8000.0,1,0.0,False,False,True,True,False,False,True,False,False
0,3906.0,6,500.0,36,1,2,2,1,0,0,0,10000.0,1,17.0,False,False,True,False,False,True,False,True,False
0,7452.4,6,1900.0,37,0,1,1,1,0,0,0,14500.0,1,5.0,False,True,False,False,False,True,True,False,False
0,7319.0,6,1292.0,63,0,2,0,0,1,0,0,5000.0,1,0.0,False,False,True,False,False,True,False,False,True
0,20700.0,10,3000.0,26,0,0,0,1,0,1,0,10000.0,2,1.0,True,False,False,True,False,False,True,False,False
1,3280.0,6,3000.0,57,1,0,0,0,1,0,0,3000.0,1,0.0,False,False,True,False,False,True,True,False,False
0,4947.0,6,873.0,45,1,1,1,1,0,0,0,5000.0,1,1.0,False,True,False,True,False,False,True,False,False
0,9621.0,6,1069.0,22,0,1,2,1,0,0,0,12000.0,1,1.0,False,False,True,False,False,True,True,False,False
0,37752.0,6,5148.0,57,0,0,0,1,1,0,1,30000.0,1,4.0,False,True,False,True,False,False,False,True,False
0,16720.0,6,2000.0,57,0,0,0,0,1,0,0,6000.0,1,0.0,False,False,True,False,False,True,True,False,False
0,4950.0,4,2000.0,39,0,2,2,1,0,0,0,27000.0,1,15.0,True,False,False,False,False,True,False,True,False
0,11230.0,4,3000.0,37,1,2,2,1,0,0,0,9000.0,1,10.0,False,False,True,False,False,True,False,True,False
0,16190.0,4,1800.0,41,0,0,0,1,0,0,1,18000.0,1,21.0,False,False,True,True,False,False,True,False,False
0,10000.0,3,5670.0,34,0,2,2,1,0,0,0,6000.0,2,2.0,False,False,True,False,False,True,True,False,False
0,7800.0,5,15000.0,44,0,1,0,1,0,0,1,15000.0,1,3.0,False,False,True,False,False,True,False,True,False
0,3890.0,6,700.0,38,0,1,1,1,0,1,0,13500.0,1,10.0,False,False,True,False,False,True,False,True,False
0,5020.0,3,15000.0,40,1,1,1,1,0,0,0,6500.0,1,10.0,True,False,False,False,False,True,True,False,False
0,9050.0,4,12000.0,40,0,2,2,1,0,1,1,14000.0,1,13.0,False,False,True,False,False,True,False,True,False
0,27000.0,10,3000.0,27,1,1,1,1,0,0,1,15000.0,1,1.0,False,False,False,False,False,True,False,True,False
0,18984.0,5,1912.0,29,0,1,1,1,0,0,0,20000.0,1,7.0,True,False,False,False,False,True,False,True,False
0,4250.0,6,4000.0,28,1,1,1,1,0,0,0,10000.0,1,1.0,True,False,False,False,False,True,False,True,False
0,2881.0,6,509.0,41,1,2,1,1,0,1,0,8600.0,1,3.0,False,False,True,True,False,False,True,False,False
0,34804.0,6,4746.0,39,1,1,1,1,0,0,0,35000.0,1,6.0,False,False,True,False,False,True,False,True,False
0,6898.0,12,2000.0,43,0,0,0,1,0,0,1,15000.0,1,12.0,False,True,False,False,False,True,False,True,False
0,5970.0,3,5000.0,57,1,0,0,0,1,1,0,8000.0,2,0.0,False,False,True,False,False,False,False,False,True
0,14611.0,5,769.0,50,1,0,0,1,0,0,0,15000.0,1,18.0,True,False,False,False,False,True,False,True,False
0,19590.0,8,7000.0,38,0,4,4,1,0,1,1,38000.0,3,3.0,False,True,False,False,False,True,False,True,False
0,3590.0,4,1000.0,51,1,0,0,1,0,1,0,25000.0,1,6.0,False,False,True,False,True,False,False,True,False
1,22072.0,6,8008.0,54,1,1,1,1,0,1,0,11000.0,1,1.0,False,False,True,True,False,False,False,True,False
0,8132.0,5,2239.0,35,1,1,1,1,0,0,0,15000.0,1,5.0,True,False,False,False,False,True,False,True,False
0,27356.0,12,4000.0,27,1,2,2,1,0,0,0,10000.0,1,0.0,True,False,False,False,False,True,False,True,False
0,3500.0,6,1000.0,48,1,2,0,1,0,1,0,6000.0,1,2.0,False,False,False,False,False,True,True,False,False
0,16680.0,3,5320.0,50,1,0,0,1,0,0,0,12000.0,1,4.0,False,False,True,False,False,True,False,True,False
0,3034.0,5,535.0,41,1,2,2,1,0,0,0,5000.0,1,19.0,False,False,True,False,False,True,False,False,True
0,6690.0,3,2000.0,42,1,1,1,1,0,1,0,10000.0,2,10.0,False,False,False,False,False,True,True,False,False
0,6990.0,6,6000.0,29,0,1,1,1,0,0,0,6200.0,1,0.0,False,False,True,False,False,True,True,False,False
0,2090.0,6,0.0,27,0,0,0,1,0,0,0,10000.0,1,2.0,False,False,True,True,False,False,False,True,False
0,7080.0,6,1000.0,40,0,2,2,1,0,1,0,20000.0,1,2.0,True,False,False,False,False,True,False,True,False
0,7380.0,6,1302.0,29,1,0,0,1,0,0,0,15000.0,1,1.0,False,False,True,True,False,False,True,False,False
0,5695.0,6,1005.0,53,1,0,0,1,0,0,0,6000.0,1,10.0,False,True,False,False,True,False,False,False,True
0,9100.0,4,6000.0,46,0,1,0,1,0,0,0,8000.0,1,4.0,True,False,False,False,False,True,True,False,False
0,7360.0,9,1000.0,57,1,2,0,0,1,0,0,7000.0,1,0.0,False,False,True,False,False,False,True,False,False
0,4430.0,5,500.0,32,1,1,1,1,0,0,0,10500.0,1,5.0,False,False,True,True,False,False,True,False,False
0,12500.0,4,1457.0,56,1,0,0,1,0,1,0,170000.0,1,10.0,False,False,True,False,False,True,False,True,False
0,5694.0,12,1005.0,51,1,0,0,1,1,0,0,15000.0,1,26.0,False,False,True,False,False,True,True,False,False
0,17990.0,6,3000.0,31,1,2,2,1,0,1,0,15000.0,1,2.0,True,False,False,False,True,False,True,False,False
0,3690.0,9,410.0,51,1,2,0,1,0,0,0,10000.0,1,3.0,False,False,True,False,False,True,True,False,False
0,13120.0,6,13650.0,43,1,1,1,1,0,0,0,8000.0,1,30.0,False,False,True,False,False,True,True,False,False
0,30471.0,6,4000.0,35,1,1,1,1,0,0,0,10000.0,2,1.0,False,False,True,False,False,True,True,False,False
0,5500.0,6,1000.0,38,1,0,0,1,0,0,0,9000.0,1,2.0,False,False,True,True,False,False,True,False,False
0,43515.0,5,30000.0,55,0,0,0,1,0,1,0,20000.0,1,35.0,False,False,True,False,False,True,False,True,False
0,83106.0,6,20000.0,37,1,2,2,1,0,0,0,60000.0,1,0.0,True,False,False,False,True,False,False,False,False
0,9000.0,6,1100.0,38,0,2,2,1,0,0,1,10000.0,1,9.0,False,True,False,False,False,True,True,False,False
0,4520.0,6,1150.0,23,1,2,2,1,0,0,0,8000.0,1,4.0,False,True,False,True,False,False,False,False,True
0,21550.0,8,5000.0,53,0,2,0,1,0,0,1,7000.0,1,30.0,False,False,True,False,False,True,False,True,False
0,6750.0,6,750.0,40,0,2,0,1,0,0,0,7800.0,1,15.0,False,False,True,False,False,True,True,False,False
0,20690.0,12,2300.0,59,1,3,1,1,1,1,0,18000.0,2,15.0,False,True,False,False,False,True,False,False,False
0,5000.0,3,7500.0,37,1,2,2,1,0,0,0,10000.0,1,2.0,False,False,True,False,False,True,True,False,False
1,6600.0,6,1170.0,27,0,2,2,1,0,1,0,12000.0,2,1.0,False,True,False,False,False,True,True,False,False
0,5390.0,3,600.0,63,1,0,0,1,0,0,0,25000.0,1,10.0,True,False,False,False,False,True,False,True,False
0,9750.0,4,16000.0,57,1,0,0,1,0,0,0,12000.0,1,20.0,False,False,True,False,True,False,True,False,False
1,2889.0,3,1500.0,42,0,0,0,1,0,0,1,15000.0,2,18.0,False,False,True,False,True,False,True,False,False
0,29700.0,12,3300.0,31,0,2,2,1,0,0,0,10000.0,3,7.0,False,False,False,False,False,True,True,False,False
0,2890.0,4,510.0,33,1,2,2,1,0,0,0,3300.0,1,7.0,False,True,False,False,False,True,False,False,True
0,29615.0,12,5226.9,31,0,1,2,1,0,0,0,30000.0,2,2.0,False,True,False,False,False,True,False,True,False
0,5740.0,6,500.0,51,1,2,0,1,0,1,0,8000.0,2,28.0,False,False,True,False,False,True,True,False,False
0,4673.0,5,150.0,28,0,1,2,1,0,0,0,25000.0,2,3.0,False,True,False,False,False,True,False,True,False
0,5490.0,6,4500.0,27,1,1,1,1,0,0,0,6000.0,1,3.0,False,True,False,True,False,False,True,False,False
0,11590.0,6,1300.0,48,0,1,1,1,0,0,1,10000.0,1,3.0,True,False,False,False,False,True,True,False,False
0,35530.0,12,5000.0,24,0,1,1,1,0,0,0,6500.0,1,1.0,True,False,False,False,False,True,False,False,True
0,5436.0,6,4000.0,29,0,1,1,1,0,1,0,25000.0,1,1.0,False,False,True,False,False,True,False,True,False
0,3350.0,4,1000.0,66,1,1,0,1,1,1,0,9300.0,1,39.0,False,False,True,False,False,False,False,False,True
0,3690.0,6,410.0,49,0,1,1,1,0,0,0,10000.0,1,8.0,False,True,False,True,False,False,True,False,False
0,6990.0,3,6000.0,23,0,0,0,1,0,0,0,15000.0,1,2.0,False,True,False,True,False,False,False,False,False
0,8880.0,6,0.0,34,0,1,1,1,0,1,0,8000.0,1,5.0,True,False,False,False,False,True,True,False,False
1,11727.0,6,1303.0,35,0,0,0,1,0,0,0,13000.0,1,0.0,False,False,True,True,False,False,True,False,False
0,32800.0,3,3700.0,34,1,1,1,1,0,1,0,18000.0,2,10.0,True,False,False,False,False,True,False,True,False
0,13920.0,10,5000.0,49,1,0,0,1,0,0,0,10000.0,1,3.0,False,False,True,False,False,False,True,False,False
0,24330.0,6,10000.0,29,0,0,0,1,0,0,0,20000.0,1,1.0,True,False,False,True,False,False,True,False,False
0,12999.0,6,2000.0,57,0,3,0,1,0,0,1,12000.0,1,6.0,False,False,False,False,False,True,True,False,False
0,37880.0,3,4300.0,63,1,3,0,1,1,0,0,20000.0,1,34.0,True,False,False,False,False,True,False,True,False
0,16730.0,6,4200.0,33,0,0,0,1,0,0,1,35000.0,1,4.0,False,True,False,False,False,True,False,True,False
0,40000.0,8,12300.0,50,1,1,0,0,1,0,0,8000.0,1,0.0,False,False,True,False,False,True,True,False,False
0,17466.0,5,1759.0,48,1,0,0,1,0,0,0,18000.0,1,14.0,False,False,True,False,False,True,False,True,False
0,6800.0,4,4000.0,36,1,1,0,1,0,0,1,17000.0,1,5.0,True,False,False,False,True,False,False,True,False
0,6100.0,12,1000.0,34,0,2,2,1,0,1,0,6000.0,2,1.0,False,False,False,False,False,True,True,False,False
0,4888.0,6,862.0,23,0,0,0,1,0,0,0,5500.0,1,1.0,False,False,True,True,False,False,False,False,True
0,18643.0,5,1877.0,29,0,0,0,1,0,1,0,28000.0,1,1.0,False,False,False,False,False,True,False,True,False
0,7900.0,6,500.0,47,1,2,0,1,0,0,0,9000.0,1,7.0,False,True,False,False,False,True,True,False,False
0,20000.0,8,3484.0,34,1,1,1,1,0,0,0,14000.0,1,3.0,False,False,True,False,True,False,True,False,False
0,13990.0,5,6000.0,57,1,0,0,0,1,0,0,9000.0,1,0.0,False,False,True,False,False,False,False,True,False
0,9850.0,4,1100.0,53,1,0,0,1,0,0,0,7000.0,1,1.0,False,False,False,True,False,False,False,False,True
0,4000.0,6,1055.0,61,1,0,0,0,1,1,0,7000.0,1,0.0,False,False,False,False,False,True,False,False,True
0,12650.0,10,3000.0,34,1,2,2,1,0,0,0,10000.0,1,8.0,False,False,True,False,True,False,False,False,True
1,3196.0,5,2131.0,47,1,1,0,1,0,1,0,25000.0,1,5.0,False,False,True,True,False,False,False,True,False
0,13598.0,6,1600.0,24,0,0,0,1,0,0,1,20000.0,1,2.0,False,False,True,False,False,True,False,True,False
0,13000.0,6,4000.0,56,1,0,0,0,1,1,0,10000.0,1,0.0,False,False,True,False,False,True,False,True,False
0,11680.0,6,1300.0,42,0,1,0,1,0,0,0,10000.0,1,0.0,False,False,True,False,True,False,True,False,False
0,41100.0,12,0.0,62,1,0,0,1,1,0,0,15000.0,2,3.0,False,True,False,True,False,False,True,False,False
1,10530.0,10,1170.0,37,1,2,2,1,0,0,0,12000.0,2,4.0,False,False,True,False,False,True,False,True,False
0,6299.0,6,1200.0,41,1,2,0,1,0,1,0,15000.0,1,0.0,False,True,False,False,False,True,False,True,False
0,5750.0,6,640.0,49,1,1,1,1,0,0,0,2300.0,1,3.0,True,False,False,False,False,True,True,False,False
1,7500.0,6,2000.0,25,1,0,0,1,0,0,0,12000.0,1,2.0,False,False,True,True,False,False,True,False,False
0,3600.0,3,4000.0,39,0,1,1,1,0,1,0,20000.0,2,4.0,False,False,True,False,False,True,False,True,False
0,5870.0,3,4330.0,25,0,0,0,1,0,0,0,12000.0,1,2.0,False,False,True,True,False,False,True,False,False
0,9700.0,6,10000.0,44,1,1,1,1,0,0,0,7000.0,1,8.0,False,False,True,True,False,False,False,False,True
1,11786.85,5,1309.65,23,1,1,1,1,0,1,0,12000.0,1,3.0,False,True,False,False,False,True,False,True,False
0,4700.0,3,6000.0,27,0,1,1,1,0,0,1,15000.0,1,0.0,False,False,True,False,False,True,False,True,False
0,10590.0,12,6000.0,36,1,0,0,1,0,1,0,8000.0,2,3.0,False,False,True,True,False,False,False,False,True
0,14400.0,3,6000.0,47,1,1,0,1,0,0,0,30000.0,1,1.0,True,False,False,False,True,False,False,True,False
0,12557.0,6,4000.0,56,1,1,1,1,1,0,0,10000.0,1,20.0,False,False,True,False,False,True,True,False,False
0,3550.0,4,1000.0,30,0,1,1,1,0,1,0,6000.0,1,5.0,False,False,True,False,False,True,True,False,False
0,2872.0,6,718.0,48,1,0,0,1,0,0,0,12000.0,1,24.0,False,True,False,True,False,False,True,False,False
0,6990.0,3,6000.0,50,0,0,0,1,0,0,0,15000.0,1,6.0,False,False,True,False,False,True,True,False,False
0,24423.0,5,10467.0,30,1,2,2,1,0,1,0,15000.0,1,5.0,True,False,False,False,False,True,False,True,False
0,5000.0,12,560.0,49,1,0,0,1,0,0,0,5000.0,1,5.0,False,False,False,False,False,False,True,False,False
0,5590.0,5,1000.0,27,0,1,1,1,0,0,1,12000.0,1,0.0,False,False,False,False,False,True,True,False,False
1,15450.0,6,4000.0,39,0,2,2,1,0,0,1,32000.0,1,3.0,False,False,True,False,False,True,False,False,False
0,5190.0,6,600.0,53,1,0,0,1,0,0,0,20000.0,2,10.0,False,False,True,False,False,True,False,False,False
0,10880.0,7,4000.0,44,0,2,0,1,0,0,0,10000.0,1,5.0,False,False,True,False,False,True,True,False,False
0,8890.0,3,10000.0,52,1,1,0,0,1,0,1,5500.0,1,0.0,False,False,True,False,False,True,True,False,False
0,3000.0,3,5500.0,24,1,0,0,1,0,0,0,12000.0,2,0.0,True,False,False,False,False,True,False,True,False
0,7600.0,6,1500.0,25,1,1,1,1,0,1,0,13500.0,1,1.0,False,True,False,False,True,False,True,False,False
0,12300.0,6,2000.0,60,1,0,0,1,1,0,0,5000.0,1,1.0,False,False,True,False,False,True,True,False,False
0,4983.0,6,700.0,40,0,2,2,1,0,0,0,11000.0,2,18.0,False,False,True,False,False,True,True,False,False
0,7490.0,6,3000.0,48,1,0,0,1,0,0,1,15000.0,1,24.0,False,False,True,False,False,True,False,True,False
0,6740.0,6,750.0,38,0,2,2,1,0,0,0,21000.0,1,18.0,False,False,True,False,False,True,False,True,False
1,28110.0,5,4000.0,35,0,0,0,1,0,1,0,28000.0,1,4.0,True,False,False,True,False,False,False,True,False
0,14450.0,12,2000.0,33,1,1,1,1,0,0,0,18000.0,2,5.0,False,False,True,True,False,False,False,True,False
0,15650.0,6,15000.0,29,0,0,0,1,0,1,0,35000.0,1,2.0,True,False,False,True,False,False,False,True,False
0,33978.63,6,9664.0,58,1,2,1,1,0,1,0,30000.0,1,3.0,True,False,False,True,False,False,False,True,False
